"","parameter","rep","CB_DU","CB","P1"
"1","hhsize",1,-0.0331020578351179,-0.064842444297453,0.0202115299795581
"2","hhage",1,0.177747075624541,0.267526891699644,0.0518291307495819
"3","age04",1,-0.25434322775437,-0.429761646808192,-0.0793923596723056
"4","depratio",1,0.351203950857968,0.566726472642965,-0.058401386001446
"5","pcfloor",1,0.232861835721608,0.301179881721736,0.948748158890251
"6","eschild",1,0.0235822000381658,0.0285840895831494,0.236568490170343
"7","jschild",1,0.0709084628398895,0.125576132759652,-0.0388617833080172
"8","sschild",1,0.136200193930178,0.159000758265874,0.0649038539571417
"9","connected",1,-0.00413844905606545,0.00352614685663655,-0.0861402697733938
"10","hhmale",1,-0.0828085325766306,0.371635033039846,-0.78174141055649
"11","hhmarried",1,0.721623344342802,0.53413495825811,1.26312271642987
"12","hheduc2",1,0.32370369467777,0.427555644925373,0.307389611922676
"13","hheduc3",1,0.360858410674212,0.554869574304266,0.143360908975365
"14","hheduc4",1,0.381125953746918,0.592912965455912,0.252195925632617
"15","higheduc2",1,-0.139507747395426,-0.0786598014651406,-0.202065473283737
"16","higheduc3",1,-0.052939573704231,0.0245074024730884,-0.200365891174044
"17","higheduc4",1,0.00423370013903776,0.128609872882981,-0.16535470808993
"18","tfloor",1,0.679992600807993,0.771741090296358,0.339198839984743
"19","twall",1,0.405494828870661,0.5063566314187,0.405217739445868
"20","toilet",1,0.716261547626191,1.05574520783874,0.654178814917369
"21","water",1,0.184348988867789,0.105924796714175,-0.014996488977763
"22","lighting",1,0.441965613595444,0.488047915782261,0.520441725583458
"23","troof",1,-0.00483595573714387,-0.191499852986262,0.487973788447126
"24","fcook",1,0.308546058980064,0.383267644298474,0.441336255888404
"25","house",1,0.321474236651969,0.405355902592433,0.0755538542590503
"26","computer",1,0.254338713170254,0.267506513763072,0.23405159591477
"27","radio",1,0.15069575298235,0.214601236844747,0.0610028928231411
"28","tv",1,0.182595927650797,0.148206668663635,0.399632193951451
"29","dvd",1,0.334370925142792,0.523716763339275,0.0442052934327003
"30","satellite",1,0.241314276990906,0.465003594392592,-0.13063893945635
"31","ac",1,2.02833071315187,1.56769093605578,1.98084943875034
"32","gas",1,0.718870459937089,1.09189857804113,0.00904107092112115
"33","refrigerator",1,0.186650626184145,0.200244102938635,0.723957569887112
"34","bicycle",1,-0.13793938623295,-0.200879122567437,0.0462513985708048
"35","motorcycle",1,0.463651441793182,0.575977302959853,0.700801172532692
"36","auto",1,1.1736206221058,2.33134293805655,0.327120365745826
"37","hp",1,-0.267446710955994,-0.406892462138945,-0.12823872558598
"38","jewelry",1,0.065465131600607,0.0299809991831457,0.443492112986302
"39","chicken",1,-0.00090417618431419,-0.0709052923081279,-0.0115137524182783
"40","cow",1,0.610932897828878,0.974808235458428,0.133341676924764
"41","credit",1,-0.133144895658507,-0.217910176833685,0.12636376851646
"42","hhsector1",1,1.17323578618151,0.219429223489377,1.06391054653521
"43","hhsector2",1,0.859628972116118,-0.150724993584928,0.834643251220547
"44","hhsector3",1,1.15001223325926,0.221854545758082,1.29734052336671
"45","formal",1,-0.540612154279647,0.10688216419239,-0.74629445539498
"46","informal",1,-0.629507823370773,0.013325904202086,-0.732294486600436
"47","hhsize",2,-0.267482661812703,-0.259365646623342,-0.360407461730762
"48","hhage",2,0.284805999458101,0.254860594788361,0.659523526563198
"49","age04",2,0.0886000612845618,0.0584645044860995,-0.124847918835053
"50","depratio",2,0.222739929377373,0.247083568152759,-0.330009481959862
"51","pcfloor",2,0.343206752031261,0.337821871880605,0.332801271759196
"52","eschild",2,0.304205961146739,0.267667167093468,0.0019832123496754
"53","jschild",2,0.16450019555326,0.191968511464001,-0.164584274285884
"54","sschild",2,0.0784370005818343,0.106614132229323,0.644634132571994
"55","connected",2,0.110598597786216,0.193153826917226,-0.194054793188095
"56","hhmale",2,-0.270868245599139,-0.586233036370068,0.814392867693948
"57","hhmarried",2,0.892016499876355,1.03318674972689,0.221323890881342
"58","hheduc2",2,0.374697726384119,0.348058634255077,0.306959407214373
"59","hheduc3",2,0.467711916105707,0.368098539241738,0.474902041425179
"60","hheduc4",2,0.187391387143202,0.0948681466470438,0.906673671994307
"61","higheduc2",2,-0.31629246231237,-0.356122363059659,-0.163234252667012
"62","higheduc3",2,-0.391601434182955,-0.405815643548095,-0.753942680052693
"63","higheduc4",2,-0.447123370777626,-0.403573022481778,-0.655825271220412
"64","tfloor",2,0.58876903127365,0.547633271478657,0.507260933524048
"65","twall",2,0.537993812733241,0.535144483918098,0.632998636025607
"66","toilet",2,0.455777385503847,0.481661545255464,-0.0212048651842878
"67","water",2,-0.16859567987547,-0.219173316946843,-0.282883864863382
"68","lighting",2,0.428369154375709,0.37885377174972,0.444330599121328
"69","troof",2,-0.460569165961432,-0.380951639144406,-0.0364255600861848
"70","fcook",2,0.369926164065956,0.342620242529657,0.798218511436232
"71","house",2,0.132295310238536,0.0924705714580045,-0.00120869216242428
"72","computer",2,0.816134659985861,0.934970490252891,0.406216728227884
"73","radio",2,0.186168346656387,0.190203498359592,-0.238398521705694
"74","tv",2,0.823276197162133,0.765071366724679,0.448323298660853
"75","dvd",2,-0.0728393411376717,-0.0312672587478904,0.385797290715977
"76","satellite",2,-0.00464316080385073,0.0852056525899932,-0.623168307581994
"77","ac",2,1.00154997678512,-1.12624645123746,2.6221911337301
"78","gas",2,0.499297233454918,0.522336345574027,0.739043710508289
"79","refrigerator",2,0.356370487974244,0.283105759443149,1.5827361854223
"80","bicycle",2,-0.0866762478950369,-0.191674162746465,0.0932707036461662
"81","motorcycle",2,0.859536706995571,0.793101569786812,1.21155209473169
"82","auto",2,1.48843701539264,1.6301376108548,1.95825670140484
"83","hp",2,0.231373398501086,0.241970189808806,-0.102305696606181
"84","jewelry",2,-0.0593428009611921,-0.0746645914881185,0.576253797757936
"85","chicken",2,0.12599716469685,0.0942634735305937,-0.00812847653286615
"86","cow",2,0.535247919393341,0.537007947387431,0.810795881476531
"87","credit",2,0.174225689397201,0.125408850826388,0.401497181674074
"88","hhsector1",2,-0.647547439269144,-0.0575224827845043,-0.841193492937454
"89","hhsector2",2,-0.611425203932495,0.0663237190059861,-0.840677873169615
"90","hhsector3",2,-0.642889434661678,0.0110782428404559,-0.860534941367088
"91","formal",2,1.40549648584492,0.642349073024714,1.46364224375944
"92","informal",2,1.29928911059825,0.56495352870898,1.26830145295138
"93","hhsize",3,-0.166652095315644,-0.101964070094516,-0.128527435962237
"94","hhage",3,0.430613014045635,0.488740012833174,0.42265945764864
"95","age04",3,-0.1236844084029,-0.328536599838958,0.0386735566970748
"96","depratio",3,0.176521092339896,0.424022038080541,0.0521516368301099
"97","pcfloor",3,0.590128808993175,0.979465145776279,0.24013627850091
"98","eschild",3,0.0364301178703309,0.0450602170378444,-0.0394600315985538
"99","jschild",3,-0.0617951468227667,-0.144593761701804,-0.0925409863360825
"100","sschild",3,0.200393501179122,0.209622118284982,0.317667376061654
"101","connected",3,-0.143932041925671,-0.243826076647783,0.0899318873503228
"102","hhmale",3,0.211710722413512,1.37030338035622,-0.0172085586747531
"103","hhmarried",3,0.639378258834862,0.544810730336214,0.830053914180658
"104","hheduc2",3,0.034284469927022,-0.0176495547878885,0.147100751495849
"105","hheduc3",3,0.359950242816509,0.367758831557606,0.299500383786077
"106","hheduc4",3,0.326381830758479,0.306389610845055,0.455666460829475
"107","higheduc2",3,0.311064705344407,0.454647870032068,0.222279223064138
"108","higheduc3",3,0.120764504694462,0.16355522036982,0.361275586727927
"109","higheduc4",3,0.604942609020877,0.990178548008995,0.438545224042435
"110","tfloor",3,0.411051160628812,0.484041172388945,0.440117300185406
"111","twall",3,0.655720214790205,0.956615636493289,0.322328361930333
"112","toilet",3,0.362583212616412,0.566700216177397,0.228919340171521
"113","water",3,-0.14242097693419,-0.256309205146267,0.181035947818818
"114","lighting",3,0.624670701937451,1.13053787836433,0.192217840699707
"115","troof",3,0.316572722411745,-0.0801998304407051,0.246361024422851
"116","fcook",3,0.210500159503677,0.25866270792297,0.00944325734442497
"117","house",3,0.51614729660105,0.728796689639341,0.53603093060122
"118","computer",3,0.961817237269465,1.88318097542785,0.542365761213512
"119","radio",3,0.156932221089151,0.207987548265802,-0.0570038089790672
"120","tv",3,0.157850807762217,0.0746314217877262,0.11956130952269
"121","dvd",3,-0.0118876822952293,-0.0783403160201339,0.15503567556569
"122","satellite",3,0.158796704874964,0.324970656566066,0.19548845847744
"123","ac",3,0.239416099712146,1.0365809293558,0.240850882327249
"124","gas",3,0.175038631905043,0.156020928269552,0.340582075877948
"125","refrigerator",3,0.32131301158411,0.497571767357149,0.429608013549277
"126","bicycle",3,0.191445076194691,0.353900210591205,-0.102094678021476
"127","motorcycle",3,0.651046892606696,1.00284562744553,0.393483374075258
"128","auto",3,0.705999564211571,0.367839846725365,1.15371389272073
"129","hp",3,0.117066360265577,0.0842089800062586,0.305598219331769
"130","jewelry",3,0.140822577367346,0.196726074370773,0.095886660792476
"131","chicken",3,-0.0607573196356871,-0.0354232466016535,0.0535469691800448
"132","cow",3,0.387620311566648,0.493706702352238,0.576029010772835
"133","credit",3,-0.000248781000941387,0.183520001488206,-0.228641681377342
"134","hhsector1",3,-0.145571697373472,-0.815538763092927,0.425324770969133
"135","hhsector2",3,-0.16966854174246,-0.853487724933177,-0.0278650770471081
"136","hhsector3",3,-0.0254948925299278,-0.44388926083151,0.170881065078623
"137","formal",3,0.0168624387853126,-1.06906640441285,0.552575707836955
"138","informal",3,-0.0313944488251799,-0.991249892526231,0.338455809512136
"139","hhsize",4,-0.503534110760234,-0.469346212126314,-0.38285463018891
"140","hhage",4,0.355947717647824,0.38982231321548,0.283739809510241
"141","age04",4,0.581671047433181,0.619626128137939,-0.323367335503111
"142","depratio",4,-0.476491790697459,-0.539830580763742,0.208982606489433
"143","pcfloor",4,0.325590440013185,0.305074599157183,0.334636196024883
"144","eschild",4,0.39119402028191,0.420166075994538,0.141970745032271
"145","jschild",4,0.0547787900403435,0.0607789974190817,0.113566880815175
"146","sschild",4,0.134818549744146,0.141291542094147,0.0225348773329023
"147","connected",4,-0.0217274434412825,0.0122992958239106,-0.276763657763117
"148","hhmale",4,0.129478200822945,0.243088226253345,-0.246062370777077
"149","hhmarried",4,0.822554719945156,0.600397136049017,2.06738276498651
"150","hheduc2",4,-0.0719258261819566,-0.0813645157724904,0.15139164489152
"151","hheduc3",4,-0.0289703352769786,-0.008357745864585,-0.218919259651796
"152","hheduc4",4,0.366826044402533,0.354501392124519,-0.0255382488220884
"153","higheduc2",4,0.00503202416052495,0.0480330541462303,-0.787492125717446
"154","higheduc3",4,-0.0578419869299051,-0.0379553927941523,-0.489531649945258
"155","higheduc4",4,0.214376472191191,0.236900380326696,-0.157249840669271
"156","tfloor",4,0.509088187772769,0.420122406377106,0.929702725962509
"157","twall",4,0.496360258989951,0.517117161863621,0.653442819999603
"158","toilet",4,0.435573647551295,0.416181399211523,0.415976990868648
"159","water",4,-0.186876240466466,-0.222725771951244,-0.232805803513025
"160","lighting",4,0.715867112005472,0.677709866569564,0.299781314884583
"161","troof",4,0.824425298993063,0.796088859412792,0.664511765377083
"162","fcook",4,0.435840418304123,0.452068259428585,0.599036363679241
"163","house",4,0.287251780332124,0.200122517633565,0.613476052698008
"164","computer",4,1.64513953714339,1.47698054309455,1.84910617703162
"165","radio",4,0.0475936487336983,0.06650133220921,-0.372803466662736
"166","tv",4,0.288630309523591,0.287821879666215,-0.485229606161248
"167","dvd",4,0.0721065838141474,0.0510486163371092,0.292096372477264
"168","satellite",4,0.0487408650831409,0.00330903651592809,0.301095780063703
"169","ac",4,1.19013649669159,2.22492284115407,-0.0461424766692619
"170","gas",4,-0.0844776725798774,-0.0801662423798656,0.0268123598744089
"171","refrigerator",4,0.567727956223961,0.524266852348596,1.31962902333631
"172","bicycle",4,-0.0541093708969092,-0.0571994070812736,-0.110428451728042
"173","motorcycle",4,0.673306425740493,0.634658998129321,0.913833164497434
"174","auto",4,0.804127728844328,0.745746592073058,0.692199106098866
"175","hp",4,0.304930722872355,0.276735469114759,0.369624811189081
"176","jewelry",4,0.186894162301544,0.1592064275525,0.409299442741165
"177","chicken",4,0.355625096219373,0.312291798491826,0.474446483819641
"178","cow",4,0.607143900290192,0.625132762109021,0.0177109678321077
"179","credit",4,-0.111165629530164,-0.0442803365231997,-0.137024618407811
"180","hhsector1",4,0.885130564001265,0.81723187977193,0.660291067992395
"181","hhsector2",4,0.550559892882251,0.528389928135877,-0.0910499812604737
"182","hhsector3",4,0.71133375864008,0.7385337854787,0.0831765155964022
"183","formal",4,0.0117159119422352,-0.0105914445757373,-0.364826931233526
"184","informal",4,0.168539557269427,0.151379929413656,-0.691217489234837
"185","hhsize",5,-0.559895681184173,-0.509956782632662,-0.349642803351141
"186","hhage",5,0.239927879847946,0.168836983026228,0.266147190327144
"187","age04",5,-0.0712694108231902,-0.193447928181741,0.0145118028227441
"188","depratio",5,0.191152132080388,0.387890264997906,-0.0154877276818199
"189","pcfloor",5,0.871331769198783,1.07210736392048,0.498397439791106
"190","eschild",5,0.0454835577445598,-0.0240672062321863,-0.030016599239932
"191","jschild",5,0.0536785680697251,0.0659489920839474,-0.12181589652036
"192","sschild",5,0.0583383678034894,0.114449349022881,0.10559185653882
"193","connected",5,-0.292075301046191,-0.358150850409406,-0.148350595411673
"194","hhmale",5,0.0147822373669898,0.0892593027788202,0.146784203903354
"195","hhmarried",5,1.19233936527117,1.16295645886856,1.37796989560211
"196","hheduc2",5,0.0135757076035503,0.119096467870101,0.0215990294763953
"197","hheduc3",5,0.153075163085066,0.195462521712632,0.0798014082611151
"198","hheduc4",5,0.270751907959054,0.12770769251617,0.425728403163856
"199","higheduc2",5,-0.478983798457991,-1.05521109370421,-0.0723391397070878
"200","higheduc3",5,0.0131839263759364,-0.415627206151115,-0.0334693382461069
"201","higheduc4",5,0.323228638617664,-0.0134788736904652,0.292507550686647
"202","tfloor",5,0.272141390406036,0.322343710493716,0.2375735139858
"203","twall",5,0.619763528617646,0.77017180225486,0.181894705614281
"204","toilet",5,0.738551048894442,0.838921119308001,0.433361025936923
"205","water",5,-0.304602452591562,-0.331486293603401,-0.250902157708854
"206","lighting",5,0.927014862948013,1.14354970057661,0.651418619676514
"207","troof",5,0.353911182055356,0.143710115646321,0.977157801648372
"208","fcook",5,0.397166843544239,0.335516810977691,0.374438966149146
"209","house",5,0.463597617802902,0.46868064264987,0.424602221553989
"210","computer",5,0.681750210996309,0.512117143904283,0.951221503002193
"211","radio",5,-0.193483345163315,-0.249062668158998,0.138307660971388
"212","tv",5,0.206299557443934,0.336694821947391,0.0155334796435435
"213","dvd",5,0.418302084852478,0.487727160740507,0.138002117568616
"214","satellite",5,0.484682206355466,0.390589031549076,0.37501841313292
"215","ac",5,1.59672069932388,0.448404470608463,1.91497508608827
"216","gas",5,0.804777924381349,1.00875634602658,0.403028818156742
"217","refrigerator",5,0.364107563448364,0.239530811385469,0.59413311979103
"218","bicycle",5,0.211611437953854,0.309288001080036,-0.0612241420716091
"219","motorcycle",5,0.728633023354296,0.938124865205151,0.741618543045869
"220","auto",5,0.582130955306504,0.339403393600066,1.05094906875876
"221","hp",5,-0.0282122387010978,-0.110438554738891,0.264420508236278
"222","jewelry",5,0.653674477804176,0.77035030783452,0.180891579347058
"223","chicken",5,-0.362710791788298,-0.510306444954136,0.191595131342325
"224","cow",5,0.43524650205506,0.440304917897203,0.505912390352811
"225","credit",5,-0.211807571800518,-0.641823493046023,0.395094170160621
"226","hhsector1",5,0.680739244706911,1.41982433568233,0.21394594079698
"227","hhsector2",5,0.185725935138311,0.750343898245428,0.191032336526373
"228","hhsector3",5,0.321949242128038,0.862791260009032,0.570406465296724
"229","formal",5,0.205932963192842,-0.340470688126331,-0.0409488275426563
"230","informal",5,-0.273629389914796,-0.970821466582294,0.027600368326553
